Genre,Director,Actor1,Actor2,Year,Runtime,Rating
Action,Spielberg,DiCaprio,Streep,2021,173,1.5896596948847739
Romance,Spielberg,Hanks,Johansson,2020,106,4.344382733733243
Comedy,Wong,DiCaprio,Johansson,2004,140,5.7918166412859025
Comedy,Tarantino,Johansson,DiCaprio,2004,109,7.254042312087723
Romance,Cameron,DiCaprio,DiCaprio,2013,141,7.336022858619299
Action,Tarantino,DiCaprio,Johansson,2012,177,1.578785148192677
Sci-Fi,Spielberg,Streep,DiCaprio,2000,119,6.167315592904959
Action,Spielberg,Streep,Johansson,2020,88,4.55397364605672
Drama,Wong,Cruise,Johansson,1995,121,9.147671301367554
Comedy,Tarantino,DiCaprio,Johansson,2002,121,6.985679441526412
Sci-Fi,Nolan,DiCaprio,Streep,2020,96,9.766409651710147
Action,Wong,Johansson,Streep,1992,154,3.515191626551773
Drama,Wong,DiCaprio,Hanks,1997,123,8.75706316188428
Drama,Tarantino,Cruise,Cruise,2012,151,2.075445493690048
Romance,Nolan,DiCaprio,DiCaprio,1991,176,2.260394213240573
Action,Tarantino,Hanks,Johansson,1989,139,7.121523454632593
Drama,Cameron,Johansson,Streep,1986,106,5.597806773082912
Drama,Spielberg,DiCaprio,Streep,2006,82,5.160516856088465
Romance,Wong,Hanks,Johansson,2014,97,3.665220454072243
Romance,Spielberg,Johansson,Streep,2008,96,9.67951832679787
Comedy,Cameron,Cruise,Johansson,2015,130,2.0794954859298898
Sci-Fi,Nolan,Johansson,DiCaprio,1993,107,1.591098939983326
Action,Wong,Hanks,Hanks,2014,133,7.439258896212822
Action,Cameron,Johansson,Johansson,2016,101,3.3786685616941323
Sci-Fi,Wong,Johansson,Cruise,2020,103,2.6841425768582665
Drama,Wong,Streep,Streep,2009,179,1.5121034834645084
Drama,Spielberg,DiCaprio,Johansson,2011,80,7.096872300820551
Comedy,Nolan,Johansson,Johansson,2018,133,1.4535785153093954
Drama,Tarantino,Johansson,DiCaprio,2021,82,7.081827428549349
Drama,Tarantino,Johansson,DiCaprio,2022,134,5.0826422041360635
Romance,Tarantino,Cruise,Cruise,1983,120,5.077776786123094
Action,Spielberg,DiCaprio,Streep,2023,144,4.2423259555339605
Drama,Tarantino,Streep,Cruise,1990,97,4.484313761951723
Romance,Nolan,Streep,Johansson,2002,108,5.996931400330377
Sci-Fi,Wong,Streep,Hanks,1988,135,3.888901360627868
Sci-Fi,Nolan,Streep,Cruise,2000,98,5.071185810980917
Drama,Spielberg,Cruise,Hanks,1993,178,2.5603136476009865
Romance,Cameron,Streep,Hanks,2006,85,7.699383217460065
Sci-Fi,Nolan,DiCaprio,Hanks,1997,141,3.8840746598457145
Sci-Fi,Spielberg,Hanks,Hanks,1999,145,2.1379526339537778
Sci-Fi,Nolan,Hanks,Johansson,2015,134,7.277398520645462
Action,Tarantino,Cruise,Hanks,1997,156,8.396192301812643
Comedy,Cameron,Hanks,Cruise,2018,93,9.877577937667128
Action,Nolan,DiCaprio,Johansson,1994,154,5.383475778516795
Sci-Fi,Wong,Streep,Johansson,1993,174,9.195308085207722
Comedy,Wong,Johansson,Johansson,2023,128,4.057126030429266
Action,Cameron,DiCaprio,Johansson,2012,126,6.972935315986192
Romance,Cameron,Hanks,Johansson,1989,149,9.8893132821392
Sci-Fi,Spielberg,Streep,Cruise,1997,90,9.611790301336226
Comedy,Tarantino,Hanks,Streep,1982,133,6.950025772188674
Drama,Nolan,Cruise,Cruise,2019,137,2.239603398180789
Romance,Nolan,Cruise,DiCaprio,2016,173,2.9129208841941767
Drama,Wong,DiCaprio,Hanks,2002,127,4.358692218723588
Drama,Spielberg,Hanks,DiCaprio,2003,130,8.446063952314283
Romance,Nolan,Johansson,DiCaprio,2010,86,7.01303558605037
Sci-Fi,Cameron,DiCaprio,Hanks,2002,163,9.216229680498316
Action,Tarantino,Cruise,Cruise,2005,109,4.582248114392766
Romance,Nolan,Streep,Streep,1997,153,6.818264563076061
Drama,Tarantino,Streep,Johansson,2009,106,1.441027214564936
Action,Spielberg,Streep,Johansson,1983,97,2.2076509048881054
Sci-Fi,Tarantino,Johansson,Johansson,1989,144,9.279677350538543
Action,Cameron,Streep,Johansson,1995,110,9.743159690371334
Action,Nolan,Cruise,Cruise,2019,101,4.255823145485881
Drama,Cameron,Cruise,Cruise,2000,166,3.348942235173452
Sci-Fi,Cameron,Hanks,Hanks,1994,121,7.217503964836269
Romance,Wong,Hanks,Hanks,1995,118,9.461194791793009
Drama,Cameron,Streep,DiCaprio,2020,91,7.3251091430360935
Comedy,Tarantino,Hanks,Streep,1983,112,8.689509026013653
Drama,Spielberg,Johansson,Streep,2014,128,7.878891968106965
Comedy,Nolan,Cruise,Johansson,1995,96,8.013785072361777
Romance,Nolan,Cruise,Cruise,2003,179,2.39349639258233
Comedy,Spielberg,Streep,DiCaprio,1984,155,2.1157047947345973
Sci-Fi,Cameron,Streep,Hanks,2019,119,6.623585311161364
Romance,Cameron,Cruise,Streep,1999,97,5.738616586979839
Comedy,Wong,Johansson,Streep,2007,122,9.501324488032214
Comedy,Cameron,Streep,Hanks,2011,115,7.981843668403133
Drama,Tarantino,DiCaprio,Cruise,2020,136,7.009004347288472
Action,Cameron,Cruise,Streep,1997,104,9.934297270744985
Drama,Cameron,Streep,Streep,2017,167,1.270779457589112
Comedy,Spielberg,Johansson,Streep,2016,109,5.665696552143446
Action,Nolan,DiCaprio,Streep,2019,113,5.110940597599348
Romance,Wong,Johansson,Hanks,2009,175,7.7892330001996966
Romance,Spielberg,Cruise,Johansson,1995,92,5.378217076152895
Romance,Spielberg,Johansson,Hanks,2018,120,4.147617423651543
Romance,Spielberg,Johansson,Johansson,1986,87,7.795994357989461
Drama,Cameron,Cruise,Streep,2022,111,6.540191140387851
Romance,Cameron,Johansson,Cruise,2016,126,6.286021061857083
Drama,Cameron,Streep,DiCaprio,1991,140,5.253831223482907
Sci-Fi,Wong,Johansson,Cruise,2003,146,1.8467982626015589
Drama,Cameron,Cruise,Johansson,2022,91,5.924841213077112
Romance,Nolan,Johansson,Streep,2022,132,3.954622586838926
Sci-Fi,Spielberg,Cruise,Cruise,1981,158,5.377054285324351
Comedy,Nolan,DiCaprio,Cruise,2013,162,3.1374795611730666
Drama,Wong,DiCaprio,DiCaprio,2013,98,8.993542671088417
Drama,Nolan,Streep,Johansson,2015,162,1.292272466484358
Sci-Fi,Tarantino,Cruise,Streep,1980,170,5.2579411193555385
Sci-Fi,Cameron,Streep,DiCaprio,2018,144,5.400458482570112
Drama,Spielberg,Cruise,Hanks,1997,91,4.267365104970921
Action,Spielberg,DiCaprio,Streep,1980,152,2.94398541645376
Sci-Fi,Cameron,Streep,Johansson,2015,161,2.350492871196495
Comedy,Nolan,Cruise,DiCaprio,2018,99,2.074206354725492
Romance,Tarantino,Cruise,Cruise,1993,164,5.943454818903781
Comedy,Nolan,Cruise,DiCaprio,2019,110,5.6770650483652405
Comedy,Cameron,Johansson,Streep,1980,158,8.225407228294767
Drama,Wong,Hanks,Hanks,1982,169,7.556230486310636
Comedy,Tarantino,Johansson,Hanks,1991,108,6.693495590394642
Drama,Wong,Cruise,Streep,1986,129,4.1967081978989285
Action,Wong,Johansson,Hanks,1991,111,3.4966716336604353
Romance,Cameron,Johansson,Streep,2023,102,8.358453560154826
Comedy,Nolan,DiCaprio,DiCaprio,2003,160,4.243775998041719
Comedy,Nolan,DiCaprio,Cruise,2019,97,7.698168234831819
Comedy,Nolan,DiCaprio,Hanks,1982,87,4.593415690648058
Comedy,Spielberg,Johansson,Hanks,1982,152,8.9306764916108
Action,Wong,Streep,Johansson,1981,121,1.0798676157124092
Romance,Nolan,Johansson,DiCaprio,2019,93,9.102088738501585
Romance,Spielberg,Hanks,Cruise,2003,172,5.149401526817125
Romance,Wong,DiCaprio,Cruise,2011,141,6.197613776067902
Drama,Tarantino,Hanks,Hanks,1999,126,5.738991193429867
Drama,Wong,Cruise,Cruise,2003,81,5.676928506621788
Action,Tarantino,DiCaprio,Johansson,2015,154,3.193858476992215
Romance,Cameron,Cruise,Streep,2017,114,2.12440091169601
Sci-Fi,Nolan,DiCaprio,DiCaprio,1991,85,3.345734920935263
Drama,Nolan,DiCaprio,Streep,1983,142,9.117006163532949
Drama,Spielberg,Johansson,Hanks,2023,180,8.700620384702306
Drama,Cameron,DiCaprio,Johansson,1986,83,7.202313891931192
Action,Nolan,Hanks,Streep,2018,144,7.040929787393063
Action,Cameron,DiCaprio,DiCaprio,1994,81,8.658388185192456
Comedy,Cameron,Hanks,DiCaprio,1988,126,5.267419478887772
Action,Cameron,Hanks,Streep,1983,104,6.40989632796908
Sci-Fi,Cameron,Streep,Hanks,2015,138,6.169087022802913
Drama,Nolan,Cruise,Hanks,2007,138,8.341947618526223
Comedy,Tarantino,Johansson,Cruise,2021,84,7.782954613172463
Comedy,Tarantino,Streep,Johansson,1983,161,2.363116088211253
Comedy,Spielberg,Cruise,Cruise,2005,178,5.218116288414498
Comedy,Tarantino,DiCaprio,Streep,1995,117,7.757206453198724
Drama,Cameron,Johansson,Johansson,1998,118,7.459510653978538
Drama,Nolan,Streep,Hanks,2015,180,2.655632647881877
Action,Wong,Streep,Johansson,1999,105,5.3220908872676205
Drama,Tarantino,Johansson,Cruise,1982,107,4.174641595126309
Sci-Fi,Spielberg,Streep,Cruise,2008,151,6.322725303703312
Comedy,Cameron,Streep,Hanks,1982,158,6.855266401360585
Drama,Tarantino,Cruise,DiCaprio,2005,150,9.00921203805075
Drama,Wong,Hanks,Streep,2018,93,8.098651341107917
Drama,Cameron,Cruise,DiCaprio,2016,137,1.3750024764578126
Romance,Wong,DiCaprio,Hanks,1991,162,5.5168877411417485
Sci-Fi,Spielberg,Johansson,Hanks,2011,82,7.393595377344127
Sci-Fi,Nolan,Cruise,Streep,1992,86,1.351969313021006
Romance,Wong,Cruise,Johansson,2000,176,4.471846143757137
Action,Spielberg,DiCaprio,Cruise,2018,127,5.402871349532749
Drama,Spielberg,Streep,Streep,2023,92,7.518252288689323
Sci-Fi,Wong,DiCaprio,Hanks,2021,135,3.5676445647203625
Drama,Spielberg,Streep,DiCaprio,1983,126,6.161668620548719
Romance,Wong,Streep,Johansson,1991,136,6.843439621275964
Romance,Wong,Hanks,Streep,2002,172,7.288315340116867
Drama,Wong,Streep,Cruise,2018,158,2.230183932403227
Drama,Cameron,Hanks,Cruise,2017,124,6.4070766996244135
Comedy,Cameron,DiCaprio,DiCaprio,2020,110,4.858640384842941
Drama,Tarantino,Hanks,Johansson,1985,151,4.748104258557065
Sci-Fi,Nolan,DiCaprio,DiCaprio,2015,121,9.90699019073463
Drama,Tarantino,Johansson,DiCaprio,2005,85,2.280990680541498
Sci-Fi,Nolan,Johansson,Streep,2023,137,2.2565545029733136
Drama,Nolan,Streep,Cruise,2017,178,5.787052314686363
Sci-Fi,Wong,Hanks,Hanks,1990,106,3.430450392691023
Sci-Fi,Nolan,DiCaprio,Johansson,2002,112,2.6615313965732317
Comedy,Tarantino,Hanks,DiCaprio,2015,84,4.541604916901156
Sci-Fi,Tarantino,Johansson,Streep,1986,173,8.911750296941381
Sci-Fi,Nolan,DiCaprio,Cruise,2012,147,7.8613041330926094
Romance,Cameron,Hanks,Johansson,1997,93,4.692018911023981
Comedy,Cameron,Hanks,Johansson,1983,174,4.377779826046609
Romance,Spielberg,Hanks,Hanks,1997,165,9.0701267465843
Action,Tarantino,DiCaprio,Hanks,2001,157,8.25348508188717
Sci-Fi,Cameron,Streep,Hanks,1995,132,9.263635656190266
Drama,Wong,Cruise,Johansson,2002,97,8.672634835506951
Sci-Fi,Nolan,Streep,Streep,2018,136,1.204695856768645
Drama,Spielberg,Hanks,Streep,1994,102,3.22214120925708
Sci-Fi,Cameron,Streep,DiCaprio,1998,94,8.899544330311981
Comedy,Cameron,DiCaprio,Hanks,2007,155,2.1584660874176933
Action,Wong,Streep,Johansson,2013,97,9.114097361289003
Drama,Wong,Johansson,Streep,2017,180,1.6532397780533907
Action,Cameron,Hanks,Streep,1992,132,2.6656335229983847
Action,Nolan,Hanks,Streep,1980,84,6.1531788444920466
Action,Nolan,Cruise,Streep,1999,171,6.061027028468073
Drama,Nolan,DiCaprio,Streep,1983,175,3.011640596004132
Sci-Fi,Spielberg,Hanks,Streep,2019,96,8.359441286073059
Sci-Fi,Nolan,Cruise,Johansson,2010,156,7.706194119679632
Action,Cameron,Hanks,Hanks,1981,174,3.853160771301801
Sci-Fi,Nolan,Hanks,DiCaprio,1984,124,9.735877908745097
Drama,Wong,Streep,Johansson,2017,177,2.150259693126129
Sci-Fi,Wong,Streep,Johansson,2002,169,7.909547854878896
Drama,Tarantino,Hanks,Hanks,1994,107,4.442211776936298
Drama,Wong,DiCaprio,Streep,1992,165,9.518313477490075
Sci-Fi,Nolan,DiCaprio,Streep,2011,147,9.668335653620517
Action,Spielberg,Johansson,Johansson,1999,174,1.4043197316105782
Romance,Spielberg,DiCaprio,Hanks,2020,140,3.5098609527970073
Action,Nolan,Streep,Hanks,2014,167,6.052247425479246
Sci-Fi,Nolan,Hanks,Streep,1993,140,7.217348734154739
Sci-Fi,Tarantino,Johansson,Streep,2019,176,4.133573506492486
Action,Spielberg,Hanks,Streep,1985,172,8.513305367016496
Sci-Fi,Wong,Cruise,DiCaprio,1984,136,9.942397402991732
Action,Spielberg,DiCaprio,Hanks,2020,81,5.4405551038101905
Action,Tarantino,Hanks,Johansson,2021,148,6.016827644584914
Comedy,Nolan,Cruise,Hanks,2016,135,7.444817281859271
Romance,Tarantino,Johansson,Streep,2001,171,1.953568553755422
Action,Spielberg,Hanks,Streep,2014,135,5.026420865692307
Romance,Spielberg,DiCaprio,Streep,2019,115,1.4780610674530403
Sci-Fi,Wong,Hanks,Cruise,1987,166,2.3778077339918933
Romance,Nolan,Johansson,Hanks,1995,174,1.0950195640268383
Action,Tarantino,Streep,Johansson,1995,106,5.548036384059681
Sci-Fi,Tarantino,Hanks,Johansson,1980,81,7.792343320830166
Comedy,Nolan,Cruise,Johansson,2003,176,7.8900431605780295
Drama,Wong,DiCaprio,Streep,2018,138,7.91493433553765
Action,Spielberg,Streep,Streep,1995,128,4.263953413194244
Romance,Cameron,Cruise,DiCaprio,1983,172,9.904769084826977
Romance,Nolan,Johansson,DiCaprio,1984,114,2.912125947833604
Action,Wong,Johansson,Hanks,1987,175,7.45035350853697
Romance,Wong,Streep,Streep,1995,159,7.0970158296379395
Romance,Nolan,Hanks,DiCaprio,2009,122,6.911294124092095
Comedy,Nolan,Hanks,Hanks,2003,178,3.8954523349031227
Action,Wong,Streep,Johansson,1990,80,5.761473443044412
Action,Wong,DiCaprio,Cruise,1996,121,6.4599157915945655
Comedy,Nolan,Cruise,Streep,2020,168,8.084752633887636
Drama,Wong,DiCaprio,Streep,2003,124,6.918449050921804
Romance,Tarantino,Streep,Streep,2006,123,7.835205270813729
Drama,Nolan,Johansson,Johansson,2008,151,9.47609093319255
Romance,Spielberg,Johansson,DiCaprio,1982,135,3.184726017650337
Comedy,Nolan,Streep,Streep,2000,176,6.952587502042078
Drama,Nolan,Johansson,Hanks,1991,144,2.5324565039106104
Drama,Cameron,DiCaprio,DiCaprio,2001,141,2.09914799541792
Action,Cameron,Cruise,DiCaprio,2004,81,8.398490760052818
Comedy,Wong,Streep,DiCaprio,1994,155,9.680283305092072
Action,Nolan,Johansson,Johansson,1996,96,3.088804938003888
Drama,Wong,Cruise,Cruise,2004,176,5.189969054088326
Comedy,Wong,Streep,Hanks,1993,97,2.2497895585198586
Romance,Nolan,Cruise,DiCaprio,1990,165,8.153430123180694
Drama,Wong,DiCaprio,Cruise,1982,169,7.203108332801619
Action,Wong,Cruise,DiCaprio,2003,112,8.616575821116527
Action,Cameron,Johansson,DiCaprio,1989,105,6.157923408540834
Romance,Tarantino,Hanks,DiCaprio,2015,180,7.375293858771691
Drama,Cameron,Cruise,DiCaprio,1993,120,5.211404978655861
Action,Tarantino,Hanks,Cruise,2008,87,4.983455758575289
Comedy,Cameron,Hanks,Streep,1996,138,2.7170109450626865
Comedy,Wong,Hanks,Streep,2017,81,2.1383698072581443
Sci-Fi,Tarantino,Hanks,Cruise,2012,126,6.078423775383484
Romance,Wong,Cruise,Cruise,2000,160,4.27002890241452
Romance,Nolan,DiCaprio,Hanks,1999,154,8.609827678291342
Romance,Spielberg,Johansson,DiCaprio,2006,122,4.942480068300263
Romance,Spielberg,Johansson,Streep,2023,141,6.090103881595787
Comedy,Tarantino,Hanks,Streep,1982,153,3.2760715492532944
Action,Tarantino,Hanks,DiCaprio,2014,94,5.115985399856589
Action,Wong,Johansson,Johansson,1999,108,4.573779163277239
Drama,Nolan,DiCaprio,Hanks,1988,143,8.28831884320291
Action,Cameron,Hanks,Johansson,2005,175,4.726492287287459
Romance,Tarantino,Cruise,Streep,1987,135,2.5386407394923913
Action,Nolan,Cruise,Streep,2002,166,4.943583687963539
Drama,Wong,Hanks,Streep,1987,143,6.213203782238133
Romance,Wong,Hanks,DiCaprio,1997,163,1.8334024733103667
Sci-Fi,Cameron,Cruise,DiCaprio,2004,172,9.783848324655434
Drama,Wong,Cruise,Hanks,1986,132,1.3654315526008949
Comedy,Cameron,DiCaprio,DiCaprio,2013,177,9.067265183473413
Romance,Spielberg,Cruise,Johansson,2007,165,1.0911497432784945
Sci-Fi,Spielberg,Cruise,Hanks,1983,107,8.150682927022451
Sci-Fi,Cameron,Hanks,Streep,2002,91,9.36755525322877
Drama,Cameron,Streep,Cruise,1990,171,7.727658413550941
Romance,Cameron,Streep,DiCaprio,2020,161,8.587015030255323
Drama,Nolan,DiCaprio,Streep,2009,168,1.0986904672420073
Romance,Tarantino,Johansson,DiCaprio,1982,133,7.557004713144085
Comedy,Nolan,Cruise,DiCaprio,1995,163,4.424789427889515
Action,Nolan,DiCaprio,Streep,1999,137,5.845497171122795
Drama,Spielberg,DiCaprio,Streep,1998,155,8.149930394662304
Romance,Wong,Streep,Cruise,2007,173,2.149260303209037
Comedy,Nolan,Hanks,Streep,2017,154,2.519261102386675
Drama,Nolan,Streep,Hanks,2018,128,5.538528376203125
Sci-Fi,Wong,DiCaprio,DiCaprio,1992,179,2.8925138647175053
Romance,Nolan,Hanks,Johansson,1998,120,1.1633306142830013
Drama,Wong,Johansson,Hanks,2011,160,2.9004454893354032
Action,Spielberg,Cruise,DiCaprio,1980,104,1.9084711742188765
Drama,Nolan,Hanks,DiCaprio,1995,113,4.634314522476188
Drama,Tarantino,DiCaprio,Streep,2006,168,6.749900730186021
Comedy,Wong,Cruise,Hanks,1980,96,7.572448678056015
Romance,Nolan,Johansson,Hanks,1989,98,5.317016843287731
Action,Nolan,Hanks,DiCaprio,1986,166,1.8940590839753657
Comedy,Wong,Hanks,Hanks,2016,94,3.489475027065316
Drama,Wong,Streep,Hanks,2012,180,3.8329004821817305
Comedy,Wong,Hanks,Johansson,2007,86,4.010293466412806
Comedy,Spielberg,DiCaprio,DiCaprio,1991,164,9.58761608952692
Action,Spielberg,Hanks,DiCaprio,1988,95,4.158802469225672
Romance,Wong,Streep,DiCaprio,1989,96,9.546490756882255
Comedy,Cameron,Hanks,Hanks,2023,84,3.463259511026197
Action,Wong,Streep,Streep,1998,147,7.220658514513619
Sci-Fi,Spielberg,Streep,Streep,1993,171,6.903730679165045
Comedy,Wong,Cruise,DiCaprio,2010,117,1.440017604773213
Comedy,Cameron,Hanks,Johansson,2000,129,2.968977246436882
Sci-Fi,Spielberg,Hanks,Streep,2015,92,2.2383164611545623
Comedy,Tarantino,Johansson,Cruise,1997,105,1.7979500229147098
Comedy,Cameron,DiCaprio,Cruise,1998,110,6.060981040785148
Sci-Fi,Wong,Johansson,DiCaprio,1991,180,6.289029065283426
Romance,Tarantino,Streep,Hanks,1994,132,4.5935946026790315
Comedy,Cameron,Streep,Streep,2009,132,7.808498204578178
Comedy,Cameron,Streep,Johansson,2016,98,6.252267456111759
Romance,Spielberg,Johansson,Cruise,2008,112,3.638228498738783
Comedy,Spielberg,Cruise,DiCaprio,2021,90,8.718902951274458
Action,Nolan,Johansson,Johansson,2017,108,9.233464522464777
Romance,Spielberg,DiCaprio,Cruise,1985,173,5.650046728589307
Romance,Wong,Cruise,Hanks,1999,112,6.845251195243732
Romance,Cameron,Johansson,DiCaprio,2014,148,4.525080938221377
Comedy,Wong,Cruise,Cruise,2009,139,2.8624912361302304
Comedy,Spielberg,Streep,Hanks,2010,144,3.117951354759474
Romance,Wong,Streep,DiCaprio,1982,125,2.1678909117120613
Action,Cameron,Cruise,Cruise,1984,131,5.109258674163443
Sci-Fi,Spielberg,Johansson,DiCaprio,1981,118,2.7359802741498216
Comedy,Wong,Cruise,DiCaprio,2011,80,2.1346118165307
Romance,Cameron,Hanks,Hanks,2016,162,7.820580544704743
Drama,Nolan,Johansson,Streep,2013,112,4.861842713416381
Sci-Fi,Nolan,Cruise,DiCaprio,2007,173,2.1799190681218255
Drama,Cameron,Johansson,Hanks,2006,94,6.232732397025639
Comedy,Tarantino,DiCaprio,Streep,2006,166,1.9586049720483532
Comedy,Spielberg,Cruise,Cruise,2016,98,2.128099535441091
Comedy,Wong,DiCaprio,DiCaprio,2013,89,4.616861556452131
Romance,Wong,Cruise,Cruise,1982,84,1.5858642579213278
Romance,Cameron,Streep,DiCaprio,2000,167,7.960209527397458
Comedy,Spielberg,Johansson,Cruise,2017,161,5.52396331484195
Sci-Fi,Wong,Johansson,Streep,1991,166,9.631016312780114
Comedy,Wong,DiCaprio,Hanks,1981,166,1.727215981467682
Drama,Wong,Streep,Streep,2012,164,8.892052365220774
Sci-Fi,Tarantino,Cruise,Streep,1986,102,7.773967642156828
Sci-Fi,Cameron,Hanks,DiCaprio,2002,119,4.07898969479577
Romance,Tarantino,Hanks,DiCaprio,1999,81,3.540215181245453
Drama,Cameron,Streep,DiCaprio,1991,126,8.786972587099331
Comedy,Spielberg,Streep,Hanks,1981,89,3.175322682267039
Romance,Spielberg,Streep,Johansson,2003,178,5.2733471438880795
Drama,Cameron,DiCaprio,Hanks,2007,154,9.519758417851946
Romance,Cameron,Johansson,Cruise,1995,112,2.4973092127355545
Action,Tarantino,DiCaprio,Cruise,2013,157,5.393784563197754
Sci-Fi,Nolan,DiCaprio,Hanks,2011,93,7.0002842833213395
Comedy,Cameron,DiCaprio,Johansson,2010,95,6.222237633575104
Action,Nolan,Cruise,Hanks,2023,125,7.644312996972534
Romance,Cameron,Streep,Cruise,1990,130,3.565654023617424
Comedy,Tarantino,Johansson,Streep,2022,147,4.341088810135951
Comedy,Cameron,Hanks,Streep,2016,157,3.2771127764487598
Comedy,Cameron,Hanks,DiCaprio,1984,148,2.8324752088040825
Comedy,Nolan,DiCaprio,Hanks,1982,159,4.041452609326357
Sci-Fi,Cameron,Cruise,Cruise,2021,114,9.373633512491361
Action,Spielberg,DiCaprio,DiCaprio,2003,139,7.402690924826119
Drama,Spielberg,Hanks,Streep,2007,124,2.1736899730894557
Action,Cameron,Cruise,DiCaprio,1990,90,6.77202683929022
Action,Wong,Hanks,DiCaprio,2021,84,8.450187593839622
Drama,Spielberg,Cruise,Hanks,2007,142,8.671842795671061
Drama,Spielberg,Streep,Streep,2014,85,2.9179553358739927
Action,Tarantino,Hanks,Streep,1981,142,9.464811662471131
Comedy,Nolan,DiCaprio,Hanks,2007,167,8.395411706595539
Action,Spielberg,Cruise,Cruise,2011,122,9.564063398586738
Comedy,Wong,DiCaprio,Streep,1981,171,5.981317987028914
Romance,Spielberg,Cruise,Cruise,2003,84,7.723565200447401
Comedy,Wong,Johansson,Cruise,1995,152,1.769241517137753
Action,Nolan,Streep,Johansson,2014,162,4.512094811570847
Romance,Cameron,Streep,Streep,1981,84,2.509592089352117
Romance,Wong,Streep,Cruise,2020,92,9.326443740513122
Romance,Spielberg,Hanks,Streep,2007,93,4.203360108532203
Action,Cameron,Hanks,Streep,1995,124,9.16859967225323
Sci-Fi,Tarantino,Johansson,DiCaprio,2010,173,4.493558302358919
Drama,Tarantino,Johansson,Hanks,1986,86,4.190462713616649
Comedy,Nolan,Cruise,Johansson,2004,172,5.042962390805965
Action,Cameron,Streep,Johansson,1998,136,2.6875071981646093
Comedy,Spielberg,Johansson,Hanks,2004,94,4.258233261822555
Sci-Fi,Spielberg,Johansson,Johansson,2005,124,9.287785132083627
Sci-Fi,Cameron,Streep,DiCaprio,2006,146,7.322104650628765
Action,Cameron,Johansson,Cruise,2014,121,8.543610282310564
Sci-Fi,Tarantino,Cruise,Cruise,2012,123,2.5503506990214784
Romance,Wong,Cruise,Johansson,2005,152,7.7909750979534795
Romance,Cameron,Streep,Streep,1990,176,4.323819995971231
Drama,Spielberg,Hanks,Cruise,1994,141,7.944565130446378
Action,Cameron,Streep,DiCaprio,2022,94,6.215910284203236
Romance,Tarantino,DiCaprio,DiCaprio,1993,114,9.36209940765299
Romance,Tarantino,Streep,Hanks,1985,164,3.73937201577183
Comedy,Spielberg,Cruise,Cruise,1989,165,1.6377712931726724
Sci-Fi,Wong,Cruise,Streep,1984,119,5.424785548423265
Comedy,Wong,DiCaprio,Hanks,2012,159,9.559407937803787
Action,Wong,DiCaprio,DiCaprio,2003,132,1.9863453750435291
Comedy,Spielberg,Hanks,Johansson,1996,143,3.544616914571654
Drama,Wong,Streep,DiCaprio,2022,118,1.0886521501661284
Comedy,Cameron,Streep,Johansson,2023,154,6.823550970577821
Sci-Fi,Spielberg,Johansson,Johansson,1995,83,6.756289260184606
Sci-Fi,Spielberg,DiCaprio,Cruise,2009,155,6.073794801633726
